ID,elev,lon,lat,mean_tavg,total_prec,temp_bin_label,precip_bin_label,LC1,LC1_perc,LC2,LC2_perc,LC3,LC3_perc,LC1_cci,LC1_perc_cci,LC2_cci,LC2_perc_cci,LC3_cci,LC3_perc_cci,TreeCat
ID0073,865,6.762499999999985,61.60416666666666,1.4416666,201.3,0 to 2,200 to 220,100,37.9,10,34.3,30,26.3,60,55.6,150,33.3,11,11.1,noTree
ID0074,570,6.395833333333318,61.65416666666667,3.8083334,221.2,2 to 4,220 to 240,100,45.4,10,26.1,30,24.2,210,66.7,150,22.2,200,11.1,noTree
ID0075,1002,7.504166666666651,60.9875,-0.041666683,109.8,-2 to 0,100 to 120,100,46.0,10,24.5,30,18.1,60,33.3,200,33.3,70,22.2,noTree
ID0076,993,6.329166666666652,61.9125,1.7,245.2,0 to 2,240 to 260,100,45.6,10,37.0,30,15.3,210,33.3,200,33.3,150,22.2,noTree
ID0077,1320,7.762499999999985,61.5375,-1.0166667,123.5,-2 to 0,120 to 140,100,82.4,10,7.9,30,3.4,150,77.8,201,11.1,100,11.1,noTree
ID0078,1137,7.004166666666651,61.54583333333333,-0.0041666217,183.8,-2 to 0,180 to 200,100,61.2,10,19.6,30,11.4,200,88.9,60,11.1,0,0.0,noTree
ID0079,2389,10.779166666666663,46.52916666666667,-0.5708334,46.0,-2 to 0,40 to 60,100,36.5,10,33.5,30,21.2,70,44.4,100,33.3,130,22.2,noTree
ID0080,1170,6.804166666666651,61.37916666666667,-0.016666653,203.7,-2 to 0,200 to 220,100,60.2,10,14.5,60,11.9,150,33.3,200,33.3,110,22.2,noTree
ID0081,460,6.654166666666652,61.5125,3.2875,196.1,2 to 4,180 to 200,100,41.2,10,29.9,30,21.2,150,55.6,200,22.2,60,22.2,noTree
ID0082,460,5.487499999999985,61.8375,4.5666666,300.3,4 to 6,300 to 320,100,39.9,10,37.6,30,22.3,150,66.7,70,22.2,100,11.1,noTree
ID0083,1033,6.012499999999985,60.94583333333333,1.5916667,305.3,0 to 2,300 to 320,100,50.4,10,21.2,30,20.5,60,44.4,150,44.4,210,11.1,noTree
ID0084,760,6.170833333333318,60.72083333333333,2.7333333,260.2,2 to 4,260 to 280,100,30.7,10,28.0,30,23.2,60,66.7,200,33.3,0,0.0,noTree
ID0085,800,6.295833333333318,60.07083333333333,1.9958333,265.2,0 to 2,260 to 280,100,41.1,10,24.5,30,17.1,200,55.6,60,44.4,0,0.0,noTree
ID0086,729,7.7041666666666515,59.77916666666667,2.125,85.8,2 to 4,80 to 100,100,59.6,10,34.1,60,3.4,100,44.4,110,22.2,150,22.2,noTree
ID0087,950,8.27916666666665,59.270833333333336,2.1416667,114.9,2 to 4,100 to 120,100,37.7,10,35.4,30,26.9,110,66.7,150,33.3,0,0.0,noTree
ID0088,1400,8.587499999999999,61.4625,-2.0333333,89.9,-4 to -2,80 to 100,100,55.5,10,19.0,30,18.1,200,44.4,201,44.4,150,11.1,noTree
ID0089,1040,6.862499999999985,61.3125,0.35833332,188.0,0 to 2,180 to 200,100,54.9,10,18.0,30,15.2,200,66.7,150,22.2,70,11.1,noTree
ID0090,640,11.720833333333331,61.84583333333333,0.56249994,63.0,0 to 2,60 to 80,100,78.0,10,19.1,30,1.7,150,100.0,0,0.0,0,0.0,noTree
ID0091,900,10.79583333333333,61.6125,0.43333343,63.4,0 to 2,60 to 80,100,35.2,10,34.4,30,30.4,150,55.6,180,22.2,152,22.2,noTree
ID0092,1020,8.320833333333319,60.8875,-0.091666706,76.1,-2 to 0,60 to 80,100,35.9,10,33.2,30,31.0,60,33.3,90,22.2,100,22.2,noTree
ID0093,1340,9.404166666666663,61.62083333333333,-1.3541666,72.8,-2 to 0,60 to 80,100,41.3,10,30.4,30,28.0,150,55.6,110,44.4,0,0.0,noTree
ID0094,880,10.762499999999998,61.895833333333336,0.38750002,56.7,0 to 2,40 to 60,100,44.2,10,40.7,30,15.0,150,55.6,180,22.2,110,11.1,noTree
ID0095,22,29.87083333333334,61.1375,4.016667,61.4,4 to 6,60 to 80,60,44.7,50,28.5,10,16.1,200,66.7,201,22.2,150,11.1,noTree
ID0096,233,26.0125,42.07916666666667,12.308333,58.1,12 to 14,40 to 60,60,66.6,40,27.5,30,5.0,11,66.7,40,33.3,0,0.0,noTree
ID0097,97,27.345833333333328,42.462500000000006,12.375,55.2,12 to 14,40 to 60,60,54.3,30,25.2,50,9.9,11,33.3,190,33.3,200,33.3,noTree
